runs	id	datetime	bid	ask
6	7	2022-03-04 21:35:03.529335	126.53	126.535
6	7	2022-03-04 21:35:13.553948	126.537	126.542
7	1	2022-03-04 21:36:32.093321	126.555	126.56
7	2	2022-03-04 21:36:42.112422	126.561	126.566
7	3	2022-03-04 21:36:52.222601	126.562	126.567
7	4	2022-03-04 21:37:02.094680	126.562	126.567
7	5	2022-03-04 21:37:12.128983	126.57	126.575
7	6	2022-03-04 21:37:22.042105	126.571	126.576
7	7	2022-03-04 21:37:31.996221	126.567	126.572
7	8	2022-03-04 21:37:42.044308	126.567	126.572
7	9	2022-03-04 21:37:52.058228	126.565	126.57
7	10	2022-03-04 21:38:01.997187	126.56	126.565
7	11	2022-03-04 21:38:12.061031	126.536	126.541
7	12	2022-03-04 21:38:22.030576	126.522	126.527
7	13	2022-03-04 21:38:31.964143	126.515	126.52
7	14	2022-03-04 21:38:42.016512	126.488	126.493
7	15	2022-03-04 21:38:52.053402	126.483	126.488
7	16	2022-03-04 21:39:02.057727	126.479	126.484
7	17	2022-03-04 21:39:12.062448	126.486	126.491
7	18	2022-03-04 21:39:22.087456	126.499	126.504
8	1	2022-03-04 21:57:50.856830	126.262	126.267
8	2	2022-03-04 21:58:00.868283	126.258	126.263
8	3	2022-03-04 21:58:10.846142	126.256	126.261
8	4	2022-03-04 21:58:20.896982	126.264	126.269
8	5	2022-03-04 21:58:30.823888	126.268	126.273
8	6	2022-03-04 21:58:40.827034	126.282	126.287
8	7	2022-03-04 21:58:50.761556	126.27	126.275
8	8	2022-03-04 21:59:00.774895	126.249	126.254
8	9	2022-03-04 21:59:10.839131	126.242	126.247
8	10	2022-03-04 21:59:20.810951	126.255	126.26
8	11	2022-03-04 21:59:30.880448	126.254	126.262
8	12	2022-03-04 21:59:40.915775	126.266	126.271
8	13	2022-03-04 21:59:51.021903	126.258	126.263
8	14	2022-03-04 22:00:00.847940	126.262	126.267
8	15	2022-03-04 22:00:10.852494	126.288	126.293
8	16	2022-03-04 22:00:20.900308	126.291	126.296
8	17	2022-03-04 22:00:30.812641	126.298	126.303
8	18	2022-03-04 22:00:40.795630	126.309	126.314
9	1	2022-03-04 22:01:53.526618	126.25	126.255
9	2	2022-03-04 22:02:03.692465	126.254	126.259
9	3	2022-03-04 22:02:13.524188	126.251	126.256
9	4	2022-03-04 22:02:23.486926	126.257	126.262
9	5	2022-03-04 22:02:33.681344	126.255	126.26
9	6	2022-03-04 22:02:43.571098	126.254	126.259
9	7	2022-03-04 22:02:53.550721	126.258	126.263
